time_slot,weekday,order_gap,demand,supply,temperature,pm25,region_id,poi_ids
0,0,1,1,0,8.0,134.2,50,57270
0,3,1,2,1,5.5,102.5,50,57270
0,4,5,5,0,4.333333333333333,171.33333333333334,50,57270
0,5,2,2,0,5.6,129.6,50,57270
0,6,3,5,2,8.0,147.0,50,57270
1,2,1,1,0,4.0,83.0,50,57270
1,4,3,3,0,4.5,168.5,50,57270
1,6,6,6,0,8.0,147.0,50,57270
2,4,4,4,0,4.0,171.33333333333334,50,57270
2,5,2,4,2,5.333333333333333,130.0,50,57270
2,6,3,4,1,8.0,147.0,50,57270
3,3,1,1,0,5.5,102.0,50,57270
3,5,1,2,1,5.333333333333333,130.33333333333334,50,57270
3,6,7,7,0,8.0,147.0,50,57270
4,2,1,1,0,4.0,85.0,50,57270
4,3,1,2,1,5.5,102.0,50,57270
4,5,2,3,1,5.333333333333333,133.33333333333334,50,57270
4,6,2,3,1,8.0,146.66666666666666,50,57270
5,4,2,4,2,4.333333333333333,171.66666666666666,50,57270
5,6,1,1,0,7.666666666666667,146.66666666666666,50,57270
6,0,2,2,0,8.0,125.66666666666667,50,57270
6,4,2,2,0,4.333333333333333,171.66666666666666,50,57270
6,5,1,3,2,5.166666666666667,133.33333333333334,50,57270
7,2,5,6,1,4.0,87.66666666666667,50,57270
7,4,2,3,1,4.333333333333333,171.66666666666666,50,57270
8,2,1,1,0,3.8333333333333335,87.66666666666667,50,57270
9,0,2,2,0,8.0,125.66666666666667,50,57270
9,2,3,3,0,3.6666666666666665,87.66666666666667,50,57270
10,6,3,3,0,7.666666666666667,152.0,50,57270
11,2,1,1,0,3.6666666666666665,88.0,50,57270
11,4,1,1,0,4.0,183.0,50,57270
11,5,1,2,1,4.666666666666667,142.33333333333334,50,57270
11,6,4,5,1,7.666666666666667,152.0,50,57270
12,4,1,2,1,4.0,183.0,50,57270
13,5,1,1,0,4.666666666666667,145.0,50,57270
13,6,2,2,0,7.666666666666667,152.0,50,57270
14,1,1,2,1,6.0,137.0,50,57270
14,4,1,1,0,4.0,183.0,50,57270
15,3,1,1,0,5.0,102.5,50,57270
15,4,1,1,0,4.0,183.0,50,57270
16,3,4,4,0,5.0,103.5,50,57270
16,6,1,1,0,7.333333333333333,145.66666666666666,50,57270
17,3,1,1,0,5.0,103.5,50,57270
17,6,1,1,0,7.333333333333333,145.66666666666666,50,57270
23,2,1,1,0,3.6666666666666665,84.0,50,57270
24,3,1,1,0,4.5,108.5,50,57270
26,4,1,1,0,3.6666666666666665,164.66666666666666,50,57270
27,3,1,1,0,4.5,108.5,50,57270
28,3,1,1,0,4.5,108.5,50,57270
29,4,1,1,0,3.3333333333333335,150.66666666666666,50,57270
30,1,1,1,0,5.333333333333333,113.66666666666667,50,57270
30,4,1,1,0,3.3333333333333335,150.66666666666666,50,57270
31,1,1,1,0,5.166666666666667,113.66666666666667,50,57270
31,3,2,2,0,4.5,110.0,50,57270
33,4,1,2,1,3.0,150.66666666666666,50,57270
34,6,2,2,0,7.166666666666667,138.0,50,57270
35,6,1,1,0,7.0,135.33333333333334,50,57270
36,1,1,1,0,5.0,105.0,50,57270
37,0,2,2,0,7.333333333333333,105.66666666666667,50,57270
37,4,1,1,0,3.0,142.0,50,57270
38,0,2,3,1,7.333333333333333,105.66666666666667,50,57270
38,4,1,1,0,3.0,142.0,50,57270
39,0,2,4,2,7.333333333333333,105.66666666666667,50,57270
39,1,3,7,4,4.833333333333333,105.0,50,57270
39,2,1,2,1,3.0,92.8,50,57270
39,4,1,1,0,3.1666666666666665,142.0,50,57270
39,6,2,2,0,7.0,135.33333333333334,50,57270
40,1,1,3,2,4.666666666666667,94.66666666666667,50,57270
40,6,1,4,3,7.0,133.33333333333334,50,57270
41,3,3,9,6,4.5,111.0,50,57270
41,6,3,4,1,7.0,133.0,50,57270
42,4,2,2,0,3.3333333333333335,135.66666666666666,50,57270
42,6,2,3,1,7.0,133.0,50,57270
43,3,1,3,2,3.4,98.6,50,57270
43,4,2,3,1,3.3333333333333335,135.66666666666666,50,57270
43,6,1,3,2,7.2,138.8,50,57270
44,3,1,5,4,4.0,111.0,50,57270
44,4,1,4,3,3.3333333333333335,135.66666666666666,50,57270
45,0,2,7,5,8.0,132.0,50,57270
45,3,4,11,7,3.4,98.6,50,57270
45,4,1,8,7,3.2,132.0,50,57270
45,5,1,7,6,4.333333333333333,138.0,50,57270
45,6,3,4,1,7.2,138.8,50,57270
